,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
10751,Alejandro Catena,Spain,Centre-Back,CF Reus Deportiu,Spain,Rayo Vallecano,Spain,0.0,2018
10752,Emiliano Velázquez,Uruguay,Centre-Back,Atlético de Madrid,Spain,Rayo Vallecano,Spain,0.0,2018
10753,José León,Spain,Centre-Back,Real Madrid Castilla,Spain,Rayo Vallecano,Spain,0.0,2018
10754,Alejandro Gálvez,Spain,Centre-Back,SD Eibar,Spain,Rayo Vallecano,Spain,0.0,2018
10755,Franco Di Santo,Argentina,Centre-Forward,FC Schalke 04,Germany,Rayo Vallecano,Spain,0.0,2018
10756,Sergio Benito,Spain,Centre-Forward,Rayo Vallecano B,Spain,Rayo Vallecano,Spain,0.0,2018
10757,Mario Hernández,Spain,Right-Back,Rayo Vallecano B,Spain,Rayo Vallecano,Spain,0.0,2018
10758,Fran Beltrán,Spain,Central Midfield,Rayo Vallecano,Spain,Celta de Vigo,Spain,8000000.0,2018
10759,Johan Mojica,Colombia,Left-Back,Rayo Vallecano,Spain,Girona FC,Spain,5000000.0,2018
10760,Nacho Monsalve,Spain,Centre-Back,Rayo Vallecano,Spain,Twente Enschede FC,Netherlands,0.0,2018
10761,Mario Fernández,Spain,Goalkeeper,Rayo Vallecano,Spain,FC Cartagena,Spain,0.0,2018
10762,Antonio Amaya,Spain,Centre-Back,Rayo Vallecano,Spain,UCAM Murcia CF,Spain,0.0,2018
10763,Javi Noblejas,Spain,Left-Back,Rayo Vallecano,Spain,Sporting Gijón,Spain,0.0,2018
10764,Chechu Dorado,Spain,Centre-Back,Rayo Vallecano,Spain,Real Zaragoza,Spain,0.0,2018
10765,Baiano,Brazil,Right-Back,Rayo Vallecano,Spain,Alanyaspor,Turkey,0.0,2018
